Banco;Código;ISPB;Nome Completo
BCO DO BRASIL S.A.;1;0;Banco do Brasil S.A.
BCO DA AMAZONIA S.A.;3;4902979;BANCO DA AMAZONIA S.A.
BCO DO NORDESTE DO BRASIL S.A.;4;7237373;Banco do Nordeste do Brasil S.A.
BNDES;7;33657248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL
CREDICOAMO;10;81723108;CREDICOAMO CREDITO RURAL COOPERATIVA
C.SUISSE HEDGING-GRIFFO CV S/A;11;61809182;CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A
BANCO INBURSA;12;4866275;Banco Inbursa S.A.
STATE STREET BR S.A. BCO COMERCIAL;14;9274232;STATE STREET BRASIL S.A. - BANCO COMERCIAL
UBS BRASIL CCTVM S.A.;15;2819125;UBS Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A.
CCM DESP TRÂNS SC E RS;16;4715685;COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RI
BNY MELLON BCO S.A.;17;42272526;BNY Mellon Banco S.A.
BCO TRICURY S.A.;18;57839805;Banco Tricury S.A.
BCO BANESTES S.A.;21;28127603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO
BCO BANDEPE S.A.;24;10866788;Banco Bandepe S.A.
BCO ALFA S.A.;25;3323840;Banco Alfa S.A.
BANCO ITAÚ CONSIGNADO S.A.;29;33885724;Banco Itaú Consignado S.A.
BCO SANTANDER (BRASIL) S.A.;33;90400888;BANCO SANTANDER (BRASIL) S.A.
BCO BBI S.A.;36;6271464;Banco Bradesco BBI S.A.
BCO DO EST. DO PA S.A.;37;4913711;Banco do Estado do Pará S.A.
BCO CARGILL S.A.;40;3609817;Banco Cargill S.A.
BCO DO ESTADO DO RS S.A.;41;92702067;Banco do Estado do Rio Grande do Sul S.A.
BCO DO EST. DE SE S.A.;47;13009717;Banco do Estado de Sergipe S.A.
CONFIDENCE CC S.A.;60;4913129;Confidence Corretora de Câmbio S.A.
HIPERCARD BM S.A.;62;3012230;Hipercard Banco Múltiplo S.A.
BANCO BRADESCARD;63;4184779;Banco Bradescard S.A.
GOLDMAN SACHS DO BRASIL BM S.A;64;4332281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.
BCO ANDBANK S.A.;65;48795256;Banco AndBank (Brasil) S.A.
BCO MORGAN STANLEY S.A.;66;2801938;BANCO MORGAN STANLEY S.A.
BRB - BCO DE BRASILIA S.A.;70;208;BRB - BANCO DE BRASILIA S.A.
BCO. J.SAFRA S.A.;74;3017677;Banco J. Safra S.A.
BCO ABN AMRO S.A.;75;3532415;Banco ABN Amro S.A.
BCO KDB BRASIL S.A.;76;7656500;Banco KDB do Brasil S.A.
BANCO INTER;77;416968;Banco Inter S.A.
HAITONG BI DO BRASIL S.A.;78;34111187;Haitong Banco de Investimento do Brasil S.A.
BCO ORIGINAL DO AGRO S/A;79;9516419;Banco Original do Agronegócio S.A.
B&T CC LTDA.;80;73622748;B&T CORRETORA DE CAMBIO LTDA.
BANCOSEGURO S.A.;81;10264663;BancoSeguro S.A.
BANCO TOPÁZIO S.A.;82;7679404;BANCO TOPÁZIO S.A.
BCO DA CHINA BRASIL S.A.;83;10690848;Banco da China Brasil S.A.
UNIPRIME DO BRASIL - CC LTDA.;84;2398976;UNIPRIME DO BRASIL - COOPERATIVA DE CRéDITO LTDA.
COOPCENTRAL AILOS;85;5463212;Cooperativa Central de Crédito - Ailos
BANCO RANDON S.A.;88;11476673;BANCO RANDON S.A.
CREDISAN CC;89;62109566;CREDISAN COOPERATIVA DE CRÉDITO
BRK S.A. CFI;92;12865507;BRK S.A. Crédito, Financiamento e Investimento
